,,2025 Unsheltered,2024 Unsheltered,2023 Unsheltered,
Region,City,Total Unsheltered,Total Unsheltered,Total Unsheltered,
Central Region,San Diego City,3354,3489,3285,
North Costal Region,Carlsbad,101,112,60,
,Oceanside,318,361,290,
,"Encinitas (San Dieguito, Solana Beach & Del Mar)",91,123,73,
South Region,Coronado,1,0,1,
,National City,135,174,159,
,Chula Vista (Sweetwater),470,503,318,
,Imperial Beach,17,20,19,
East Region,El Cajon,344,283,203,
,La Mesa,52,53,36,
,Lemon Grove,110,111,60,
,Santee,53,73,76,
,Alpine (Crest-Dehesa)*,0,0,4,
,Lakeside*,47,52,78,
,Spring Valley (Casa de Oro)*,106,129,71,
North Inland Region,Escondido (NC Metro & Hidden Meadows),307,401,304,
,Vista (Bonsall),144,170,88,
,Poway,9,1,2,
,Fallbrook*,16,7,19,
,San Marcos,30,35,2,
,Ramona*,9,13,23,
,TOTAL,5714,6110,5171,
,,,,,
*Regions with an asterisk represent unincorporated regions.,,,,,
"** Correction made 6/6/2024, updated information from ICS",,,,,
