service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,case_record_type,service_name,service_name_detail,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,iamfloc,floc,public_description,prediction
2582888,,,2019-05-05T09:43:00,2173,DSD,Development Services - Code Enforcement,Illegal Use or Activity,2025-04-16,Closed,32.712086,-117.056488,"665 Sage Way, San Diego, CA 92114, USA",92114.0,4.0,11.0,Encanto Neighborhoods,,Mobile,,SS-023879,SS-023879,"Too many people living in a single family house, illegally renting garage as apartment.",15
2760822,,,2019-10-11T08:13:00,1987,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-03-20,Closed,32.81686365162803,-117.2029073683673,4190 Datcho Dr,92117.0,2.0,6.0,Clairemont Mesa,,Mobile,,SS-011395,SS-011395,"This home has people living in and outside house. Refrigerator, tarps, living room furniture etc. Also runs a illegal daycare center. More then 9 people live there. CODE Violation period.",9
2924663,,,2020-04-01T14:35:00,1846,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-21,Closed,32.712938,-117.149775,"716 16th St, San Diego, CA 92101, USA",92101.0,3.0,4.0,Downtown,,Web,,SS-000418,SS-000418,"There is an encampment of homeless individuals that have taken over an abandoned building located at 716 16th St, San Diego, CA 92101. There is a construction fence built around the building since the owners of the property are about to demo the building and about a month ago the City removed the encampment that was in that building before. However, since no demo is taking place the homeless encampment inside the abandoned building has reformed and once again these individuals that have occupied this building is creating a nusiness for the entire neighborhood and surrounding property owners. I have no photos of inside the building, but you can see from both roof and surrounding sidewalk how they are entering the property and living there. I hope someone can resolve this and remove these individuals immediately.",10
2939126,,,2020-04-23T15:40:00,1821,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-18,Closed,32.751754,-117.19444,"3973 Conde St, San Diego, Ca 92110, Usa",92110.0,2.0,24.0,Old Town San Diego,,Mobile,,SS-007773,SS-007773,Encampments chronic,10
2957354,,,2020-05-17T10:52:00,1800,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-21,Closed,32.81687305389548,-117.20288322961,4190 Datcho Dr,92117.0,2.0,6.0,Clairemont Mesa,,Mobile,,SS-008744,SS-008744,"This home has 11 people living inside/outside. They have people coming and going. The cars are parked all over the street which never move. Also running business out of house. This is a continuous problem. Junk piled up, trash cans over flowing. This is not a duplex or business. Please correct these code violations once and for all! Thank you",11
2976080,,,2020-06-08T11:46:00,1778,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-21,Closed,32.75496613406798,-117.1035695632035,4247 El Cajon Blvd,92105.0,9.0,56.0,Mid-City:City Heights,,Mobile,,SS-010051,SS-010051,The previous encampment was addressed thanks to Mid City PD. We have a new encampment with new people who are also sleeping in the vacant business. The property owner needs to secure his vacant property otherwise this will keep happening.,10
3245877,,,2021-02-16T16:28:00,1525,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-21,Closed,32.71910057450082,-117.1578659895267,1316 Eighth Ave,92101.0,3.0,4.0,Downtown,,Mobile,,SS-001566,SS-001566,Thiss appears to be an encampment on the demolition site seventh and A. See wood lean-to structure,10
3256118,,,2021-02-25T08:35:00,1516,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-21,Closed,32.6999516,-117.0844418,"5117 Trinidad Way, San Diego, CA 92114, USA",92114.0,4.0,11.0,Encanto Neighborhoods,,Web,,SS-030327,SS-030327,"Behind my house at 5117 Trinidad Way. San Diego, 92114, their are several encampments with people  and a dog living in the bamboo. They have tents, trash, noise and constantly keeping my 3 dogs barking in the backyard.  All the neighbors along this encampment is bothered by the disturbance all day and night, making it hard to sleep.   I have reached out to you before and the problem was resolved, but they keep coming back.  This encampment is very close to our homes and we can?t enjoy are backyards with this hinderance .  Thank You.",10
3271463,,,2021-03-09T14:17:00,1505,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-22,Closed,32.76068,-117.13601,"4585 HAMILTON ST, A1, San Diego, CA 92116",92116.0,3.0,28.0,North Park,,Phone,,,,"Resident reports building has been under construction for quite sometime, encampment inside. Last night transients broke into several homes on Madison. Police report open",10
3274578,,,2021-03-11T18:41:00,1503,DSD,Development Services - Code Enforcement,Quality of Life Issues,2025-04-22,Closed,32.80159879626788,-117.2300520809241,2168 Balboa Ave,92109.0,1.0,27.0,Pacific Beach,,Mobile,,SS-020524,SS-020524,"Hello,I'm a resident of the building at 2161 Garnet Ave. and have recently noticed quite a few homeless individuals in the garage of the building across the alley at 2166 Balboa Ave. This is the building with the ""Dentist"" signage along the top. I'm not sure whether this building is currently being used or not, however there is certainly no security employed by building ownership/management. This homeless encampment is something I am not comfortable having so nearby our building. Thank you very much for your time on this matter.",10
