LONG,LAT,Region,Program,Address,Phone,Website,Description,Taking New Referrals,Population,Services,Language,FID,x,y
-117.3058,33.12278,North Coastal,Fee-For-Service,"6010 Hidden Valley Rd Ste 200, Carlsbad, CA 92011",(760)631-3000,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+",Medication Evaluation & Management,English,1,-13058426.3245115,3911611.79004104
-117.0978,32.78435,Central,VH ADAPT MHSA,"6070 MISSION GORGE RD, SAN DIEGO, CA 92120",6193334250,vistahill.org,ADAPT provides in-home holistic mental health treatment to individuals and family members who screen positive for postportum anxiety and/or depression.,Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Medication Support Services","English, Spanish",2,-13035268.4528421,3866714.56385694
-117.083,32.68424,South,Fee-For-Service,"610 Euclid Ave STE 200, National City, CA 91950",(866)284-2771,,,,"Adults 23-59
Older Adults 60+","Inpatient Treatment
Medication Evaluation & Management",English,3,-13033618.2623314,3853467.01189356
-117.083,32.68424,South,Fee-For-Service,"610 Euclid Ave STE 200, National City, CA 91950",(866)284-2774,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Medication Evaluation & Management
Outpatient Treatment",English,4,-13033618.2623314,3853467.01189356
-117.083,32.68424,South,Fee-For-Service,"610 Euclid Ave Ste 200, National City, CA 91950",(619)267-9257,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Medication Evaluation & Management
Outpatient Treatment",English,5,-13033618.2623314,3853467.01189356
-117.083,32.68424,South,Fee-For-Service,"610 Euclid Ave, National City, CA 91950",(619)267-9257,,,,"Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Home Visits
Individual Therapy
Inpatient Treatment
Medication Evaluation & Management
Neuropsych. Testing
Outpatient Treatment
Psychological Testing",English,6,-13033618.2623314,3853467.01189356
-117.0978,32.78607,North Central,Fee-For-Service,"6136 Mission Gorge Rd Ste 106, San Diego, CA 92120",(619)786-1351,,,,"Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Family Therapy
Individual Therapy",English,7,-13035263.3570402,3866942.36896703
-117.0659,32.70948,Countywide,CRF MAST FAMILY THERAPY FSP,"6145 Imperial Ave, San Diego, CA 92114",6193983261,http://www.comresearch.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services",English,8,-13031712.4324262,3856805.51538331
-117.0659,32.70948,Countywide,CRF MAST MHSA FSP,"6145 Imperial Ave, San Diego, CA 92114",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish, Farsi",9,-13031712.4324262,3856805.51538331
-117.0659,32.70948,Central,Second Chance Drug Court Central IOS,"6145 Imperial Ave, San Diego, CA 92114",6192348888,www.secondchanceprogram.org,,Yes,,Intensive Outpatient Treatment,"English, Spanish",10,-13031712.4324262,3856805.51538331
-117.0659,32.70948,Central,Second Chance Drug Court Central OS,"6145 Imperial Ave, San Diego, CA 92114",6192348888,www.secondchanceprogram.org,,Yes,,Outpatient Treatment,"English, Spanish",11,-13031712.4324262,3856805.51538331
-117.0659,32.70948,Central,Second Chance ReEntry Court Prog IOS,"6145 Imperial Ave, San Diego, CA 92114",6192348888,www.secondchanceprogram.org,,Yes,,Intensive Outpatient Treatment,"English, Spanish",12,-13031712.4324262,3856805.51538331
-117.0659,32.70948,Central,Second Chance ReEntry Court Prog OS,"6145 Impreial Ave, San Diego, CA 92114",6192348888,www.secondchanceprogram.org,,Yes,,Outpatient Treatment,"English, Spanish",13,-13031712.4324262,3856805.51538331
-117.0978,32.78681,Countywide,PWS KICKSTART,"6160 MISSION GORGE RD STE 100, SAN DIEGO, CA 92120",6194813790,www.kickstartsd.org,"Provide Prevention and Early Intervention (PEI) services for persons age 10-25 who have emerging ‘prodromal’ symptoms of psychosis.  This program has three service components including:1) Prevention, through public education;2) Early Intervention, through screening potentially at risk youth; and3) Intensive Treatment, with treatment of youth who are identified as at risk and their families.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Mandarin Chinese, Spanish",14,-13035264.2063405,3867040.86699759
-117.0978,32.78681,Countywide,TELECARE AGEWISE,"6160 MISSION GORGE RD STE 108, SAN DIEGO, CA 92120",6196833100,www.telecarecorp.com,"Our ACT teams provide intensive, community-based mental health, behavioral health, and social services for individuals with mental illness, substance use, unemployment, homelessness, or other major life challenges. Our teams include trained peer support specialists, case managers, and clinicians.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",15,-13035264.2063405,3867040.86699759
-117.0978,32.78681,Countywide,TELECARE AGEWISE ICM,"6160 MISSION GORGE RD, STE 108, SAN DIEGO, CA 92120",6194815200,telecarecorp.com,"Institutional case management serves members who are conserved and placed in a long-term care facility. The program provides members with support in obtaining and maintaining benefits, care coordination, discharge planning, and advocacy. Members are assessed to ensure that they are placed in the least restrictive environment possible.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination","English, Spanish",16,-13035264.2063405,3867040.86699759
-117.0567,32.67034,"Central, North Central",SDUSD CITY SCHOOLS OP,"6196 Childs Ave, San Diego, CA 92139",8585732227,www.sandiegounified.org,"Outpatient therapy, Individual –Group and Family therapy, Case management, Family partners, Pathways to Well-Being- intensive care coordination, School based therapy, Medication services",Yes,"Young Children (0-5),
Children (6-18),
Adolescent (12-17),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",17,-13030697.5185506,3851628.10950984
-117.0375,32.68876,"Central, North Central",SDUSD CITY SCHOOLS OP,"620 Briarwood Rd, San Diego, CA 92139",8585732227,www.sandiegounified.org,"Outpatient therapy, Individual –Group and Family therapy, Case management, Family partners, Pathways to Well-Being- intensive care coordination, School based therapy, Medication services",Yes,"Young Children (0-5),
Children (6-18),
Adolescent (12-17),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",18,-13028550.4873561,3854064.90602449
-117.0973,32.66902,South,CRF NUEVA VISTA MHSA FSP,"621 E 18th St, National City, CA 91950",1619585768,,"Nueva Vista Family Services is located in Chula Vista and serves children, youth and families residing in the South region.  The program provides a full range of services in Spanish and English to children and youth identified as having Serious Emotional Disturbance (SED). Services are family-driven, and all family members actively participate in service planning and delivery.",Yes,"Young Children (0-5),
Children (6-18)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",19,-13035207.3032194,3851454.07184773
-117.0638,32.76344,Central,PWS CORNERSTONE,"6244 EL CAJON BLVD STE 14, SAN DIEGO, CA 92115",6196403266,,"Pathways Community Services-Cornerstone is a Full Service Partnership(FSP) program that provides school-based & outpatient behavioral health services for MediCal-eligible & unfunded children & adolescents.Cornerstone is located in the College Area of San Diego, in the Campus Medical, Dental & Professional Center on El Cajon Blvd.Currently partnered with 14 area schools within the San Diego & provides services at these school sites in addition to home & clinic based services",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",20,-13031482.272041,3863946.90685968
-117.0638,32.76344,Countywide,TURN ACTION CENTRAL FSP,"6244 EL CAJON BLVD STE 15, SAN DIEGO, CA 92115",6192878225,,"Assertive Community Treatment Intensive Outreach Needs (ACTION) – Central program offers a dual track treatment model for individuals in the central San Diego area who have either been diagnosed with a severe and persistent mental illness or a chronic substance use disorder. We offer medication management and monitoring, individual therapy, outpatient substance abuse treatment, case management, employment support, peer counseling and support, and housing services. ACTION Central provides a safe environment in which our clients can address all of their treatment needs.`",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Medication Support Services","English, Spanish",21,-13031482.272041,3863946.90685968
-117.0638,32.76344,Central,Fee-For-Service,"6244 El Cajon Blvd Ste 3, San Diego, CA 92115",(619)838-9460,,,,"Adults 23-59
Older Adults 60+","Family Therapy
Group Therapy
Home Visits
Individual Therapy
Outpatient Treatment",English,22,-13031482.272041,3863946.90685968
-117.0638,32.76344,Central,Fee-For-Service,"6244 El Cajon Blvd Ste 3, San Diego, CA 92115",(619)787-7027,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Family Therapy
Group Therapy
Individual Therapy
Outpatient Treatment",English,23,-13031482.272041,3863946.90685968
-117.0638,32.76344,Central,TURN Action Central IOS,"6244 El Cajon Blvd, San Diego, CA 92115",6192878225,https://www.turnbhs.org,"Expanding Horizons is San Diego County’s first Outpatient, non-residential Substance Use Disorder treatment program specifically for Transition Age Youth (TAY) aged 18-29. Our program provides care that is client- and family-centered, individualized, clinically effective, outcomes-driven, culturally responsive, gender specific, trauma informed, developmentally and age-appropriate, and inclusive of TAY evidence-based treatment practice and recovery services approaches.",Yes,,Intensive Outpatient Treatment,English,24,-13031482.272041,3863946.90685968
-117.0638,32.76344,Central,TURN Action Central OS,"6244 El Cajon Blvd, San Diego, CA 92115",6192878225,https://www.turnbhs.org,"Apex Recovery is a California State licensed, San Diego rehab that provides drug and alcohol treatment programs including dual diagnosis. Apex Rehab Recovery is one of very few rehab centers in San Diego that offers accredited care for five levels of substance abuse treatment programs. Apex Recovery is a San Diego leader in drug addiction and alcohol addiction rehabilitation, offering detox programs and outpatient programs, which include both Intensive Outpatient Programs, as well as Partial Hospitalization Programs.",Yes,,Outpatient Treatment,English,25,-13031482.272041,3863946.90685968
-117.079,33.09177,North Inland,Fee-For-Service,"625 Citracado Pkwy Ste 102, Escondido, CA 92025",(760)294-9270,,,,"Infants 0-3
Preschool 3-5
Children 6-12
Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+",Medication Evaluation & Management,English,26,-13033172.3796664,3907491.26347594
