OBJECTID,Jurisdiction,APN,Vacancy,Units,Zoning,ZoningSimplified,Min_Density,Max_Density,Links,Shape__Area,Shape__Length
1,Poway,3200200300,Vacant,1,OS-1DU,Open Space,,,,328705.459960938,3222.23606901649
2,City of San Diego,5461000200,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5386.068359375,316.776904021351
3,City of San Diego,5461000300,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5867.7119140625,322.545227516975
4,City of San Diego,5461000400,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,4927.8916015625,301.438884678602
5,City of San Diego,4366112900,,976,RM-4-10,High Density Residential,,109,https://www.sandiego.gov/development-services/zoning,433993.206054688,2617.20750739144
6,San Diego County,1043501000,Vacant,27,C36,Commercial,,40,,50003.1630859375,900.057311100074
7,City of San Diego,5471100600,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,5174.3603515625,306.82059627374
8,City of San Diego,5461000600,Vacant,2,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,7010.8603515625,357.485829346286
9,City of San Diego,5461000500,Vacant,12,RM-1-1,Low Density Residential,,14,https://www.sandiego.gov/development-services/zoning,40281.8330078125,1092.42668197683
10,City of San Diego,5491540300,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,5368.4599609375,332.052870722159
11,City of San Diego,5494321200,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,10888.1015625,467.899817111744
12,City of San Diego,5494321100,Vacant,3,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,16207.2939453125,609.278163738748
13,City of San Diego,5494420100,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,7336.5625,390.275871209097
14,City of San Diego,5494421500,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,7383.8896484375,370.10376886411
15,City of San Diego,5494421600,Vacant,2,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,11741.189453125,452.146544085983
16,City of San Diego,6773902900,,112,EMX-1,,,89,https://www.sandiego.gov/development-services/zoning,121549.545898438,1463.834408964
17,City of San Diego,4400420600,Vacant,1,RS-1-7,Low Density Residential,,9,https://www.sandiego.gov/development-services/zoning,8090.9130859375,394.416030335974
18,City of San Diego,4383320100,,62,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,41872.8837890625,1004.77067564974
19,City of San Diego,4383320300,,36,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,24284.3603515625,676.265922256775
20,City of San Diego,4383310700,,47,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,31598.6435546875,956.726785431782
21,City of San Diego,4383310600,,19,EMX-2,Commercial,,145,https://www.sandiego.gov/development-services/zoning,12688.89453125,468.244998753715
22,City of San Diego,4241400400,,86,CC-4-2,Commercial,,29,https://www.sandiego.gov/development-services/zoning,144051.333007813,2056.50557302729
23,City of San Diego,4415500100,,22,CC-3-8,Commercial,,73,https://www.sandiego.gov/development-services/zoning,14920.693359375,486.193498497147
24,Encinitas,2581720200,,2,D-R25,Medium Density Residential,25,20,https://encinitasca.gov/Portals/0/City%20Documents/Documents/Development%20Services/Planning/Advanced%20Planning/Housing%20Plan%20Update%202018/Environmental%20Assessment%20-%20June%202018/Technical%20Appendices%20-%20Complete%20-%20June%202018.pdf,5022.865234375,300.723033303648
25,Imperial Beach,6250242100,Vacant,1,R-1-6000,Low Density Residential,,7,https://www.imperialbeachca.gov/planning,4703.794921875,294.204093462712
26,Imperial Beach,6253611200,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,4521.6669921875,285.384052751922
27,Imperial Beach,6254021000,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,4381.3310546875,283.584094986874
28,Imperial Beach,6252021100,,1,R-2000,Medium Density Residential,,21,https://www.imperialbeachca.gov/planning,5292.0869140625,306.741341008058
29,National City,5561011500,,53,2,,,115,https://www.nationalcityca.gov/government/community-development/planning/zoning,25439.779296875,750.818081933067
30,National City,5561040200,,14,2,,,115,https://www.nationalcityca.gov/government/community-development/planning/zoning,7042.3046875,361.372525266759
31,National City,5561031900,,1,RS-2,Low Density Residential,,9,https://www.nationalcityca.gov/government/community-development/planning/zoning,6708.5478515625,360.857504596198
32,El Cajon,5112805200,Vacant,3,RS-9,Low Density Residential,,4.8,https://www.elcajon.gov/your-government/departments/community-development/zoning-information,44741.7578125,961.69138784817
33,National City,5550301200,,8,1A,,,185,https://www.nationalcityca.gov/government/community-development/planning/zoning,2265.6279296875,244.314745479204
