X,Y,OBJECTID,stop_UID,stop_agency,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
6256889.64882672,1826625.23649789,1,MTS_10001,MTS,10001,Cabrillo National Monument,32.67445793,-117.24042573,10001,0,,1,M-Special_Loc,cabmon
6246476.64701498,1886807.22833839,2,MTS_10003,MTS,10003,Pearl St & Draper Av,32.83957829,-117.27618677,10003,0,,1,N-E/B,
6247208.6468633,1887000.22893664,3,MTS_10004,MTS,10004,Pearl St & Fay Av,32.84012848,-117.2738099,10004,0,,1,N-E/B,
6248806.64662005,1889065.22841556,4,MTS_10006,MTS,10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.26867322,10006,0,,1,N-N/B,
6250686.84627172,1890130.82831848,5,MTS_10007,MTS,10007,Torrey Pines Rd & Princess St,32.8488256,-117.26258543,10007,0,,0,N-E/B,
6254912.64687522,1871633.2311274,6,MTS_10011,MTS,10011,Garnet Av & Everts St,32.79810093,-117.24825013,10011,0,,1,N-E/B,
6255649.64671355,1871054.23097306,7,MTS_10012,MTS,10012,Grand Av & Fanuel St,32.79652904,-117.24583394,10012,0,,1,N-E/B,
6256599.64678206,1872051.23094755,8,MTS_10013,MTS,10013,Garnet Av & Haines St,32.79929398,-117.24277358,10013,0,,1,N-E/B,
6257083.64647022,1872176.23102565,9,MTS_10015,MTS,10015,Garnet Av & Ingraham St,32.79965017,-117.24120249,10015,0,,1,N-E/B,inggar
6257742.64646456,1872342.23069364,10,MTS_10016,MTS,10016,Garnet Av & Jewell St,32.80012359,-117.23906319,10016,0,,1,N-E/B,
6258571.64743122,1852301.23337415,11,MTS_10020,MTS,10020,Voltaire St & Mendocino St,32.74506671,-117.23574899,10020,0,,1,N-E/B,
6258819.64627905,1872606.2311499,12,MTS_10023,MTS,10023,Garnet Av & Lamont St,32.80087716,-117.23556667,10023,0,,1,N-E/B,garlam
6259244.64739755,1851495.23367381,13,MTS_10024,MTS,10024,Voltaire St & San Clemente St,32.74286905,-117.23353563,10024,0,,1,N-E/B,
6259995.64622363,1872899.23122007,14,MTS_10025,MTS,10025,Garnet Av & Noyes St,32.8017129,-117.23174882,10025,0,,1,N-E/B,
6260406.64737013,1849766.23352289,15,MTS_10026,MTS,10026,Chatsworth Bl & Tennyson St,32.73814733,-117.22970402,10026,0,,1,N-N/B,
6260539.64743222,1850532.23363131,16,MTS_10027,MTS,10027,Voltaire St & Poinsettia Dr,32.74025595,-117.22929493,10027,0,,1,N-E/B,volpoi
6261369.64675647,1855038.23314948,17,MTS_10029,MTS,10029,West Point Loma Bl & Adrian St,32.75266115,-117.22673314,10029,0,,1,N-E/B,
6261349.64745264,1846408.2343334,18,MTS_10031,MTS,10031,Nimitz Bl & Rosecrans St,32.72894288,-117.2265353,10031,0,,0,M-Street-S/B,nimros
6261805.64621255,1872591.23117989,19,MTS_10032,MTS,10032,Grand Av & Culver St,32.80091313,-117.22584945,10032,0,,1,N-E/B,
6262188.64675888,1855300.23328164,20,MTS_10033,MTS,10033,West Point Loma Bl & Loma Riviera Dr,32.75340225,-117.22407745,10033,0,,1,M-Street-E/B,
6262239.6443603,1897104.22808556,21,MTS_10034,MTS,10034,Nobel Dr & Lebon Dr,32.86829317,-117.22518324,10034,0,,1,N-E/B,nobleb
6263245.64562914,1874248.23114672,22,MTS_10036,MTS,10036,Garnet Av & Bond St,32.805504,-117.22121375,10036,0,,1,N-E/B,
6263113.6465493,1856118.23328607,23,MTS_10038,MTS,10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938,10038,0,,1,M-Street-S/B,
6264015.64671381,1855475.23325972,24,MTS_10040,MTS,10040,Midway Dr & Duke St,32.75392997,-117.21814068,10040,0,,1,N-S/B,
6264715.64662613,1854925.23337547,25,MTS_10043,MTS,10043,Midway Dr & Kemper St,32.75243625,-117.21584744,10043,0,,1,N-S/B,
6264271.64587373,1873063.23122014,26,MTS_10044,MTS,10044,Grand Av & Mission Bay Dr,32.8022735,-117.21783906,10044,0,,1,N-E/B,
6266484.64538471,1875033.23088907,27,MTS_10045,MTS,10045,Balboa Av & Moraga Av,32.80774389,-117.21069667,10045,0,,2,M-Street-E/B,
6267751.64580347,1862993.2326594,28,MTS_10048,MTS,10048,Morena Bl & Frankfort St,32.77468641,-117.20621403,10048,0,,1,N-S/B,
6268050.64422122,1891975.22915722,29,MTS_10049,MTS,10049,Governor Dr & Radcliffe Dr,32.85434508,-117.20610593,10049,0,,1,N-E/B,
6268432.6457538,1862492.23267715,30,MTS_10050,MTS,10050,Morena Bl & Knoxville St,32.77332666,-117.20398373,10050,0,,1,N-S/B,
6268974.64434172,1884226.23021956,31,MTS_10051,MTS,10051,Clairemont Dr & Merrimac Av,32.83307178,-117.20286671,10051,0,,1,M-Street-E/B,
6272366.64543173,1860849.2330104,32,MTS_10062,MTS,10062,Linda Vista Rd & Colusa St,32.76890946,-117.19113779,10062,0,,1,N-E/B,
6272529.6454338,1857334.23347872,33,MTS_10064,MTS,10064,Taylor St & I-8 East (Ramp),32.75925323,-117.19050441,10064,0,,2,N-E/B,
6275125.64385071,1884625.23040581,34,MTS_10073,MTS,10073,Clairemont Mesa Bl & Longford St,32.83432122,-117.18285491,10073,0,,1,N-E/B,
6275222.64300056,1900111.22863322,35,MTS_10074,MTS,10074,Miramar Rd & Miramar Mall,32.8768838,-117.18299026,10074,0,,1,N-E/B,mirmal
6274953.64583513,1845861.23509932,36,MTS_10075,MTS,10075,N Harbor Dr & Laurel St (Coast Guard),32.72778181,-117.18228648,10075,0,,1,M-Street-E/B,
6276161.64538763,1854557.23378339,37,MTS_10076,MTS,10076,Lewis St & Stephens St,32.75171067,-117.17861058,10076,0,,0,N-E/B,lewste
6276250.64356922,1884599.23045781,38,MTS_10077,MTS,10077,Clairemont Mesa Bl & Limerick Av,32.83427737,-117.17919188,10077,0,,1,N-E/B,
6277220.64523813,1854554.23411748,39,MTS_10080,MTS,10080,Lewis St & Ingalls St,32.7517283,-117.1751663,10080,0,,0,N-E/B,
6279626.64239463,1900455.22892947,40,MTS_10085,MTS,10085,Miramar Rd & Milch Rd,32.87793669,-117.16865659,10085,0,,1,N-E/B,
