objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
1,3010111,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010111_301,"(0, 0, 153)","(255, 255, 255)",64299.0221853395
2,3010123,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010123_301,"(0, 0, 153)","(255, 255, 255)",152012.138845635
3,3010124,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010124_301,"(0, 0, 153)","(255, 255, 255)",151167.560377309
4,3010125,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010125_301,"(0, 0, 153)","(255, 255, 255)",65023.9037819641
5,3010128,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010128_301,"(0, 0, 153)","(255, 255, 255)",150331.577716294
6,3010129,301,101,Oceanside - UTC/VA/UCSD,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3010129_301,"(0, 0, 153)","(255, 255, 255)",149486.999721179
7,3020040,302,302,Oceanside - Vista via Vista Way,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3020040_302,"(0, 0, 153)","(255, 255, 255)",67816.3149926006
8,3020044,302,302,Oceanside - Vista via Vista Way,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3020044_302,"(0, 0, 153)","(255, 255, 255)",64863.8769314626
9,3030084,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030084_303,"(0, 0, 153)","(255, 255, 255)",78044.1426576022
10,3030086,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030086_303,"(0, 0, 153)","(255, 255, 255)",48039.0780609788
11,3030091,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030091_303,"(0, 0, 153)","(255, 255, 255)",48091.7414506108
12,3030092,303,303,Oceanside - Vista via Mission Av,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3030092_303,"(0, 0, 153)","(255, 255, 255)",76061.6990541916
13,3040088,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040088_304,"(0, 0, 153)","(255, 255, 255)",71597.7745619356
14,3040089,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040089_304,"(0, 0, 153)","(255, 255, 255)",71616.2932922141
15,3040090,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040090_304,"(0, 0, 153)","(255, 255, 255)",65213.8730972574
16,3040091,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040091_304,"(0, 0, 153)","(255, 255, 255)",64237.1794416367
17,3040092,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040092_304,"(0, 0, 153)","(255, 255, 255)",65213.8731915413
18,3040093,304,304,Encinitas - Palomar College,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3040093_304,"(0, 0, 153)","(255, 255, 255)",71616.2933864979
19,3050076,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050076_305,"(0, 0, 153)","(255, 255, 255)",65540.8677422191
20,3050077,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050077_305,"(0, 0, 153)","(255, 255, 255)",51381.2222265826
21,3050079,305,305,Vista - Escondido,3,NCTD,,http://www.gonctd.com/breeze,008C9B,FFFFFF,Bus,3050079_305,"(0, 0, 153)","(255, 255, 255)",66552.0953907041
